Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
824;280;Robinia;sp.; -;Robinie;8;8;46;L;76369;347394;14.3610941771648;48.2602384585873
1008;007;Alnus;glutinosa; -;Schwarz-Erle;7;5;80;L;69409;350081;14.2678023687178;48.2852003099211
392;009;Liriodendron;tulipifera; -;Tulpenbaum;4;2;50;L;71267;346864;14.2922983881211;48.2560639707202
424;006;Betula;pendula; -;Weiß-Birke;20;10;184;L;70701;346460;14.2846079770041;48.2524963770232
1056;010;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;15;8;133;L;70678;345580;14.2841539814336;48.2445840324355
1056;011;Tilia;sp.;-;Linde;30;9;150;L;70656;345569;14.2838559873334;48.2444875629183
403;015a;Platanus;hispanica;  -;Ahornblättrige-Platane;15;7;107;L;71390;345761;14.2937629907819;48.2461354043957
5182;058;Fraxinus;excelsior; -;Gemeine Esche;10;6;130;L;70599;344797;14.2829666058084;48.2375508382226
5182;057;Fraxinus;excelsior; -;Gemeine Esche;9;6;107;L;70592;344793;14.2828629372338;48.2375164622953
900;005FL;Quercus;sp.; -;Eiche;25;0;0;L;71234;349050;14.2922238532896;48.2757278491480
134;001FL;Fraxinus;excelsior; -;Gemeine Esche;25;0;0;L;71300;348997;14.2931040895124;48.2752432540744
897;002FL;Carpinus;betulus; -;Hainbuche;25;0;0;L;71362;348978;14.2939326308522;48.2750603229667
904;022a;Quercus;robur; -;Stiel-Eiche;17;12;285;L;71238;349159;14.2922867510770;48.2766994023025
898;050;Quercus;robur; -;Stiel-Eiche;25;20;327;L;71327;349243;14.2935041932985;48.2774484385543
899;004FL;Fraxinus;sp.; -;Esche;25;0;0;L;71338;349062;14.2936251029385;48.2758166982951
903;007FL;Betula;sp.; -;Birke;25;0;0;L;71271;349202;14.2927392803485;48.2770868046394
1073;999FL;Acer;sp.; -;Ahorn;15;0;0;L;70548;351306;14.2833518275291;48.2960851848306
422;999FL;Acer;sp.; -;Ahorn;15;0;0;L;71612;346190;14.2968277219788;48.2499616751609
421;999FL;Carpinus;betulus; -;Hainbuche;10;0;0;L;71613;346291;14.2968653543685;48.2508750788528
652;896;Quercus;robur; -;Stiel-Eiche;17;8;207;L;73176;354557;14.3193243025048;48.3250199018697
652;1015;Quercus;rubra; -;Amerikanische Rot-Eiche;30;16;261;L;73602;354286;14.3250332819228;48.3225384202780
250;020;Carpinus;betulus;Fastigiata;Säulen-Hainbuche;5;2;34;L;73045;355284;14.3176947594673;48.3315732554666
6306;044;Platanus;hispanica;  -;Ahornblättrige-Platane;17;12;206;L;72873;355077;14.3153347399724;48.3297338114842
1392;002;Betula;pendula; -;Weiß-Birke;16;5;129;L;72222;355724;14.3066613011013;48.3356205849722
537;006b;Cercis;siliquastrum; -;Gemeiner Judasbaum;2;1;15;L;70482;353033;14.2827491397800;48.3116232054192
1097;367;Gleditsia;sp.; -;Gleditschie;5;5;62;L;76153;346996;14.3581168006152;48.2566827896377
205;050;Acer;platanoides; -;Spitz-Ahorn;6;2;28;L;70948;348274;14.2882396265981;48.2687795433294
174;011;Tilia;cordata; -;Winter-Linde;8;5;50;L;71414;349018;14.2946334668253;48.2754173996631
965;018;Acer;sp.; -;Ahorn;7;5;108;L;77714;344461;14.3786668914700;48.2337023355310
965;019;Tilia;platyphyllos; -;Sommer-Linde;7;6;99;L;77739;344454;14.3790083461720;48.2336377724928
965;020;Tilia;platyphyllos; -;Sommer-Linde;7;6;108;L;77763;344447;14.3793215646283;48.2335687282150
174;012;Tilia;cordata; -;Winter-Linde;6;3;38;L;71413;349015;14.2946222408340;48.2753889396692
174;015;Acer;campestre; -;Feld-Ahorn;14;6;110;L;71412;349009;14.2946177534152;48.2753396031946
965;036;Acer;sp.; -;Ahorn;7;5;73;L;77805;344450;14.3798873585795;48.2335935143941
965;037;Tilia;platyphyllos; -;Sommer-Linde;5;3;37;L;77791;344454;14.3796997400187;48.2336312218641
1057;001FL;Carpinus;betulus; -;Hainbuche;6;0;0;L;71422;349015;14.2947415565156;48.2753877508210
1407;040;Betula;pendula; -;Weiß-Birke;12;6;129;L;71444;348479;14.2949558425738;48.2705660621918
1008;029;Alnus;glutinosa; -;Schwarz-Erle;17;5;90;L;69329;350176;14.2667386926266;48.2860625058331
1277;020;Acer;sp.; -;Ahorn;17;6;106;L;71094;346949;14.2899831427383;48.2568476294309
1277;021;Acer;pseudoplatanus; -;Berg-Ahorn;14;8;117;L;71087;346945;14.2898875666081;48.2568123706387
1277;022;Pinus;sp.; -;Kiefer / Föhre;15;6;159;N;71082;346940;14.2898200536967;48.2567680427722
1277;023;Picea;omorika; -;Serbische Fichte;15;3;95;N;71063;346923;14.2895612719148;48.2566169772116
1277;024;Acer;platanoides; -;Spitz-Ahorn;10;5;94;L;71055;346916;14.2894581790037;48.2565560973721
1277;025;Acer;pseudoplatanus; -;Berg-Ahorn;12;6;168;L;71050;346912;14.2893844833681;48.2565198429642
1277;029a;Metasequoia;glyptostroboides; -;Chinesisches Rotholz;3;2;25;N;71033;346897;14.2891583910910;48.2563866657874
1282;006;Acer;sp.; -;Ahorn;9;6;82;L;70060;346300;14.2759474029704;48.2511298989039
5193;008;Prunus;avium; -;Vogel-Kirsche;9;8;105;L;69775;345787;14.2720350996800;48.2465436763707
391;001;Acer;platanoides; -;Spitz-Ahorn;7;4;55;L;70501;345612;14.2817792142867;48.2448955694117
600;001;Betula;pendula; -;Weiß-Birke;7;4;40;L;70840;353519;14.2876553672068;48.3159540024603
1028;999FL;Fraxinus;sp.; -;Esche;20;0;0;L;68780;353021;14.2598072416568;48.3116978086163
5530;999FL;Carpinus;sp.; -;Hainbuche;15;0;0;L;72500;349274;14.3093083129351;48.2775953619751
175;999FL;Quercus;sp.; -;Eiche;15;0;0;L;72602;349204;14.3106703535077;48.2769504656195
